 INFO file_name: C:/dev/visualStudio/transpiler/Vandior/input.vn
 INFO Tokens:
 INFO (typ: CLOSE_PAR, sl: (ln: 49, cln: 73))
 INFO (typ: CLOSE_CUR_PAR, sl: (ln: 49, cln: 74))
 INFO (typ: K_VAR, sl: (ln: 50, cln: 1))
 INFO (typ: IDENT, sl: (ln: 50, cln: 5))
 INFO (typ: COMMA, sl: (ln: 50, cln: 11))
 INFO (typ: IDENT, sl: (ln: 50, cln: 13))
 INFO (typ: COLON, sl: (ln: 50, cln: 19))
 INFO (typ: IDENT, sl: (ln: 50, cln: 21))
 INFO (typ: OPEN_SQ_PAR, sl: (ln: 50, cln: 28))
 INFO (typ: INT, sl: (ln: 50, cln: 29))
 INFO (typ: CLOSE_SQ_PAR, sl: (ln: 50, cln: 30))
 INFO (typ: EQUAL_OP, sl: (ln: 50, cln: 32))
 INFO (typ: OPEN_CUR_PAR, sl: (ln: 50, cln: 34))
 INFO (typ: IDENT, sl: (ln: 50, cln: 35))
 INFO (typ: OPEN_PAR, sl: (ln: 50, cln: 42))
 INFO (typ: CLOSE_PAR, sl: (ln: 50, cln: 43))
 INFO (typ: COMMA, sl: (ln: 50, cln: 44))
 INFO (typ: IDENT, sl: (ln: 50, cln: 46))
 INFO (typ: OPEN_PAR, sl: (ln: 50, cln: 53))
 INFO (typ: CLOSE_PAR, sl: (ln: 50, cln: 54))
 INFO (typ: CLOSE_CUR_PAR, sl: (ln: 50, cln: 55))
 INFO (typ: K_VAR, sl: (ln: 51, cln: 1))
 INFO (typ: IDENT, sl: (ln: 51, cln: 5))
 INFO (typ: COLON, sl: (ln: 51, cln: 8))
 INFO (typ: U8, sl: (ln: 51, cln: 10))
 INFO (typ: EQUAL_OP, sl: (ln: 51, cln: 13))
 INFO (typ: INT, sl: (ln: 51, cln: 15))
 INFO (typ: K_VAR, sl: (ln: 52, cln: 1))
 INFO (typ: IDENT, sl: (ln: 52, cln: 5))
 INFO (typ: COLON, sl: (ln: 52, cln: 9))
 INFO (typ: F64, sl: (ln: 52, cln: 11))
 INFO (typ: EQUAL_OP, sl: (ln: 52, cln: 15))
 INFO (typ: DBL, sl: (ln: 52, cln: 17))
 INFO (typ: PERCENT_OP, sl: (ln: 52, cln: 23))
 INFO (typ: DBL, sl: (ln: 52, cln: 25))
 INFO (typ: K_VAR, sl: (ln: 53, cln: 1))
 INFO (typ: IDENT, sl: (ln: 53, cln: 5))
 INFO (typ: COLON, sl: (ln: 53, cln: 11))
 INFO (typ: I64, sl: (ln: 53, cln: 13))
 INFO (typ: EQUAL_OP, sl: (ln: 53, cln: 17))
 INFO (typ: INT, sl: (ln: 53, cln: 19))
 INFO (typ: K_VAR, sl: (ln: 54, cln: 1))
 INFO (typ: IDENT, sl: (ln: 54, cln: 5))
 INFO (typ: COLON, sl: (ln: 54, cln: 11))
 INFO (typ: I64, sl: (ln: 54, cln: 13))
 INFO (typ: EQUAL_OP, sl: (ln: 54, cln: 17))
 INFO (typ: INT, sl: (ln: 54, cln: 19))
 INFO (typ: K_IF, sl: (ln: 55, cln: 1))
 INFO (typ: OPEN_PAR, sl: (ln: 55, cln: 3))
 INFO (typ: BOOL, sl: (ln: 55, cln: 4))
 INFO (typ: CLOSE_PAR, sl: (ln: 55, cln: 8))
 INFO (typ: OPEN_CUR_PAR, sl: (ln: 55, cln: 10))
 INFO (typ: K_IF, sl: (ln: 56, cln: 2))
 INFO (typ: OPEN_PAR, sl: (ln: 56, cln: 4))
 INFO (typ: IDENT, sl: (ln: 56, cln: 5))
 INFO (typ: EQUAL_OP, sl: (ln: 56, cln: 9))
 INFO (typ: EQUAL_OP, sl: (ln: 56, cln: 10))
 INFO (typ: INT, sl: (ln: 56, cln: 12))
 INFO (typ: CLOSE_PAR, sl: (ln: 56, cln: 13))
 INFO (typ: OPEN_CUR_PAR, sl: (ln: 56, cln: 15))
 INFO (typ: IDENT, sl: (ln: 57, cln: 3))
 INFO (typ: OPEN_PAR, sl: (ln: 57, cln: 10))
 INFO (typ: STR, val: '2', sl: (ln: 57, cln: 11))
 INFO (typ: CLOSE_PAR, sl: (ln: 57, cln: 14))
 INFO (typ: CLOSE_CUR_PAR, sl: (ln: 58, cln: 2))
 INFO (typ: K_ELSE, sl: (ln: 58, cln: 4))
 INFO (typ: K_IF, sl: (ln: 58, cln: 9))
 INFO (typ: OPEN_PAR, sl: (ln: 58, cln: 11))
 INFO (typ: IDENT, sl: (ln: 58, cln: 12))
 INFO (typ: PERCENT_OP, sl: (ln: 58, cln: 16))
 INFO (typ: INT, sl: (ln: 58, cln: 18))
 INFO (typ: EQUAL_OP, sl: (ln: 58, cln: 20))
 INFO (typ: EQUAL_OP, sl: (ln: 58, cln: 21))
 INFO (typ: INT, sl: (ln: 58, cln: 23))
 INFO (typ: CLOSE_PAR, sl: (ln: 58, cln: 24))
 INFO (typ: OPEN_CUR_PAR, sl: (ln: 58, cln: 26))
